year,Atm,Nep,Min,Sed,Neptot,EntrEpi,EntrHyp,id
1996,205.81355902742223,-106.59970195566872,146.669774918419,244.9018743711595,284.9719473339098,-67.85788110068363,41.47389610666885,Allequash
1997,124.01569607891224,-133.30174005982076,213.83730764366857,207.0773837207131,287.6129513045609,-27.57894739439229,31.772776610058553,Allequash
1998,148.3429438890853,-139.89167849185822,218.88639690759425,221.2171297966783,300.21184821241434,-32.46848838521125,21.198547571606277,Allequash
1999,168.85474518525658,-150.22504464832102,241.1805036007729,268.38248013687513,359.33793908932705,-50.683752514938384,9.87427068833125,Allequash
2000,105.25251624119205,-105.59257042376002,248.52003347247555,251.94706450312756,394.87452755184313,-40.68620447752936,27.422898003394543,Allequash
2001,49.296683424216766,-35.39117063103693,301.40743335479567,315.32097714733686,581.3372398710956,-52.80670684764418,44.42135052584687,Allequash
2002,139.63983077039302,-86.50947668400828,209.7346880892832,272.6952537412214,395.9204651464963,-47.747505772881794,25.121412147939743,Allequash
2003,77.93713868999362,-38.47981350427371,232.06868433931217,270.96168393081973,464.5505547658582,-42.59441863015616,31.636362550743723,Allequash
2004,167.52804169749692,-168.47512989458136,243.77614796079263,251.91684590210866,327.21786396831993,-63.85506549911344,11.46018027151229,Allequash
2005,207.06679481355533,-209.67532685633014,207.28730351078278,208.3610241348889,205.97300078934154,-42.1521669893172,14.208391793289273,Allequash
2006,90.11568299045237,-98.77424863617978,209.03791494044916,199.0219665498804,309.28563285414975,-28.372825735211208,24.785452157169857,Allequash
2007,120.69036130331602,-107.9863896321467,225.70455953348053,251.60739920307572,369.32556910440957,-58.91098258691445,-2.4108362263511105,Allequash
2008,173.269077352128,-144.9335466078324,197.56361805733707,236.50139406566385,289.13146551516854,-74.24362795044345,2.548242259129067,Allequash
2009,175.0660035348453,-160.87207405601447,217.70921372131573,233.34954731254874,290.18668697785,-42.41971309449186,-11.965990509809323,Allequash
2010,86.61959408298048,-78.89865365835529,179.9005361221776,196.28644905089533,297.28833151471764,-30.618289811615927,18.40794847318252,Allequash
2011,146.52693770487477,-101.95187207989449,157.4332155648674,201.95678207293437,257.43812555790726,-45.737799216876006,18.865728686186443,Allequash
2012,71.74927106324517,-21.874656286489454,152.2214604521485,208.00483222484482,338.35163639050387,-55.663865973910625,32.80440941004969,Allequash
2013,121.47957343988304,-49.69539020348132,138.31276135684726,215.9313467494186,304.5487179027846,-62.35823057866562,41.52083845064884,Allequash
2014,125.70442674632615,-12.443314066268416,88.4024203248159,203.56680366979373,279.5259099283412,-76.18446805574997,49.87252718551459,Allequash
2015,162.0550594151872,-58.50575751347073,122.268201973257,227.41475040212677,291.17719486191305,-78.38764025547547,34.69065281803615,Allequash
2016,218.02227202427824,-152.34641344777532,132.49926471458454,206.59176335178472,186.74461461859394,-55.476904865659556,49.81341181208292,Allequash
2017,191.127102555018,-104.28805776006718,104.91933410879182,195.79882767416788,196.43010402289252,-80.93932554365568,41.699249418689604,Allequash
2018,-24.584971888708044,170.07658636871523,45.01310885655406,195.4322060579071,410.52190128317636,-58.97674967280724,52.23401956570653,Allequash
2019,46.680089819857024,150.39404986704574,40.722408439247886,236.70766033289576,427.82411863918935,-84.47135428299386,57.06017902837005,Allequash
1996,224.90797340650724,-124.8224383311297,157.4713687747043,240.1419325998148,272.7908630433894,-53.20467040038038,50.51659927559262,BigMuskellunge
1997,39.599459885891484,-63.6904395280194,232.62069376166917,222.33766621773486,391.2679204513846,-10.847889401143947,28.280214733695082,BigMuskellunge
1998,32.16387256668529,-26.670612922759126,148.30627167027825,139.09563244618099,260.73129119370014,-20.660598989174492,20.66587214598803,BigMuskellunge
1999,48.85284706124945,-66.84502447015552,142.18197095584944,123.02252524748978,198.35947173318368,-23.37370008087679,31.471876494277094,BigMuskellunge
