"LakeAbr","Characteristic","Latitude","Longitude","Area_ha","Mean Depth (m)","Maximum Depth (m)","EpiMin","EpiMax","MetaMin","MetaMax","HypoMin","HypoMax","SamplingDepth"
"CB","Crystal Bog","46.008","-89.606","0.6","1.7","2.5","0","1","1","2","2","3","2"
"TB","Trout Bog","46.041","-89.686","1","5.6","7.9","0","2","4","6","6","8","7"
"CR","Crystal Lake","46.003","-89.612","37.5","10.4","20.4","0","2","6","16","16","21","20"
"BM","Big Muskellunge Lake","46.021","-89.612","363.4","7.5","21.3","0","2","4","12","15","22","20"
"SP","Sparkling Lake","46.008","-89.701","63.7","10.9","20","0","2","4","14","15","21","18"
"AL","Allequash Lake","46.038","-89.621","164.2","2.9","8","0","2","2","6","6","8","7"
"TR","Trout Lake","46.029","-89.665","1565.1","14.6","35.7","0","2","9","21","25","36","33"
"FI","Fish Lake","43.287","-89.652","80.4","6.6","18.9","0","2","4","11","12","20","18"
"ME","Lake Mendota","43.099","-89.405","3961.2","12.8","25.3","0","2","7","17","18","26","22"
"WI","Lake Wingra","43.053","-89.425","136.2","2.7","6.7","0","2","2","4","4","7","3"
"MO","Lake Monona","43.063","-89.361","1359.8","8.2","22.5","0","2","4","13","15","23","22"
