obsdata,simdata,id,type
9100,9254.686426192078,Allequash,Epilimnion
8253.33333333333,8714.663749037976,Allequash,Epilimnion
7066.66666666667,7968.93442979324,Allequash,Epilimnion
8971.42857142857,8068.238389170393,Allequash,Epilimnion
9700,8128.492253419902,Allequash,Epilimnion
9800,9766.815170697417,Allequash,Epilimnion
9319.04761904762,8620.347072276752,Allequash,Epilimnion
7276.19047619048,8609.853141485475,Allequash,Epilimnion
9228.57142857143,8002.200779237944,Allequash,Epilimnion
8700,7222.153385084888,Allequash,Epilimnion
9395.238095238099,7014.890746238397,Allequash,Epilimnion
6346.15384615385,8458.446117359983,Allequash,Epilimnion
7838.46153846154,8818.611051351683,Allequash,Epilimnion
9395.238095238099,9321.6010808363,Allequash,Epilimnion
10646.6666666667,10102.856847267716,Allequash,Epilimnion
9876.19047619048,9275.535868583322,Allequash,Epilimnion
9700,8983.239094474096,Allequash,Epilimnion
8728.57142857143,8423.267041273475,Allequash,Epilimnion
8200,7973.167366498919,Allequash,Epilimnion
8161.90476190476,7474.343493608797,Allequash,Epilimnion
8861.904761904761,7949.728036031164,Allequash,Epilimnion
9357.142857142859,8317.511914308994,Allequash,Epilimnion
8015.384615384621,8369.293391029745,Allequash,Epilimnion
9500,9307.437258452524,Allequash,Epilimnion
10200,10755.393721321609,Allequash,Epilimnion
9400,9285.646775122568,Allequash,Epilimnion
9400,9085.96632639628,Allequash,Epilimnion
8900,7864.1244859163235,Allequash,Epilimnion
8438.09523809524,8220.193344217574,Allequash,Epilimnion
7976.19047619048,7965.034607255777,Allequash,Epilimnion
8571.428571428569,7848.391029237209,Allequash,Epilimnion
8861.904761904761,7401.402234105124,Allequash,Epilimnion
8271.42857142857,8604.181940771725,Allequash,Epilimnion
9023.07692307692,9271.189489823748,Allequash,Epilimnion
9561.90476190476,9267.114028473414,Allequash,Epilimnion
10500,9361.481454055533,Allequash,Epilimnion
8800,8696.650543112222,Allequash,Epilimnion
9423.809523809521,8487.970787926013,Allequash,Epilimnion
9071.428571428569,8419.625272735842,Allequash,Epilimnion
8669.23076923077,8372.834180780614,Allequash,Epilimnion
8233.33333333333,7489.922632081237,Allequash,Epilimnion
8328.57142857143,7411.72745271807,Allequash,Epilimnion
8100,7585.482794877914,Allequash,Epilimnion
7248.48484848485,7632.351073123036,Allequash,Epilimnion
